timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678801544891,4302,Yame-/shop/quan-dai-don-gian?s=2,200,OK,Thread Group-Yame 1-31,text,true,,91016,135,52,52,https://yame.vn/shop/quan-dai-don-gian?s=2,1436,0,0
1678801548606,589,Yame-/shop/phu-kien-nam?s=2,200,OK,Thread Group-Yame 1-47,text,true,,89615,130,52,52,https://yame.vn/shop/phu-kien-nam?s=2,413,0,0
1678801548607,588,Yame-/shop/ao-thun-toi-gian?s=2,200,OK,Thread Group-Yame 1-79,text,true,,90023,134,52,52,https://yame.vn/shop/ao-thun-toi-gian?s=2,415,0,0
1678801545969,3272,Yame-/shop/nguyen-to-chom-sao?s=2,200,OK,Thread Group-Yame 1-9,text,true,,93184,136,52,52,https://yame.vn/shop/nguyen-to-chom-sao?s=2,1233,0,0
1678801547376,1865,Yame-/shop/quan-short-don-gian?s=2,200,OK,Thread Group-Yame 1-17,text,true,,92212,137,52,52,https://yame.vn/shop/quan-short-don-gian?s=2,725,0,0
1678801548632,609,Yame-/shop/giay-dep-sandal?s=2,200,OK,Thread Group-Yame 1-4,text,true,,87679,133,52,52,https://yame.vn/shop/giay-dep-sandal?s=2,414,0,0
1678801547991,1248,Yame-/shop/12-vi-anh-hung?s=2,200,OK,Thread Group-Yame 1-80,text,true,,92638,132,52,52,https://yame.vn/shop/12-vi-anh-hung?s=2,593,0,0
1678801548674,565,Yame-/shop/ao-thun-toi-gian?s=2,200,OK,Thread Group-Yame 1-93,text,true,,90019,134,52,52,https://yame.vn/shop/ao-thun-toi-gian?s=2,453,0,0
1678801548690,548,Yame-/shop/nguyen-to-chom-sao?s=2,200,OK,Thread Group-Yame 1-99,text,true,,93186,136,52,52,https://yame.vn/shop/nguyen-to-chom-sao?s=2,429,0,0
1678801548605,610,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-60,text,true,,91418,125,52,52,https://yame.vn/bo-suu-tap/bbuff,481,0,0
1678801548614,596,Yame-/shop/bltx?s=2,200,OK,Thread Group-Yame 1-55,text,true,,88396,122,52,52,https://yame.vn/shop/bltx?s=2,445,0,0
1678801547994,1215,Yame-/shop/ao-khoac-hoodie?s=2,200,OK,Thread Group-Yame 1-83,text,true,,94386,133,52,52,https://yame.vn/shop/ao-khoac-hoodie?s=2,551,0,0
1678801545480,3802,Yame-/bo-suu-tap/phu-kien-thoi-trang,200,OK,Thread Group-Yame 1-81,text,true,,90004,139,51,51,https://yame.vn/bo-suu-tap/phu-kien-thoi-trang,1227,0,0
1678801548241,1041,Yame-/shop/gu-toi-gian?s=2,200,OK,Thread Group-Yame 1-42,text,true,,89615,129,51,51,https://yame.vn/shop/gu-toi-gian?s=2,550,0,0
1678801548991,326,Yame-/y-originals?s=2,404,Not Found,Thread Group-Yame 1-50,text,false,,3888,124,51,51,https://yame.vn/y-originals?s=2,314,0,0
1678801548906,452,Yame-/shop/ao-so-mi-co-danton?s=2,200,OK,Thread Group-Yame 1-53,text,true,,76945,136,51,51,https://yame.vn/shop/ao-so-mi-co-danton?s=2,348,0,0
1678801547971,1393,Yame-/shop/ao-thun-toi-gian?s=2,200,OK,Thread Group-Yame 1-10,text,true,,90011,134,51,51,https://yame.vn/shop/ao-thun-toi-gian?s=2,1040,0,651
1678801548836,548,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-94,text,true,,91412,125,51,51,https://yame.vn/bo-suu-tap/bbuff,414,0,0
1678801548824,567,Yame-/shop/ao-khoac-hoodie?s=2,200,OK,Thread Group-Yame 1-58,text,true,,94388,133,50,50,https://yame.vn/shop/ao-khoac-hoodie?s=2,430,0,0
1678801548907,493,Yame-/shop/ao-khoac-hoodie?s=2,200,OK,Thread Group-Yame 1-61,text,true,,94392,133,50,50,https://yame.vn/shop/ao-khoac-hoodie?s=2,350,0,0
1678801548011,1415,Yame-/shop/nguyen-to-chom-sao?s=2,200,OK,Thread Group-Yame 1-12,text,true,,93186,136,50,50,https://yame.vn/shop/nguyen-to-chom-sao?s=2,1051,0,646
1678801548943,495,Yame-/shop/quan-short?s=2,200,OK,Thread Group-Yame 1-69,text,true,,91060,128,50,50,https://yame.vn/shop/quan-short?s=2,342,0,0
1678801548975,487,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-66,text,true,,91412,125,50,50,https://yame.vn/bo-suu-tap/bbuff,361,0,0
1678801548391,1071,Yame,200,OK,Thread Group-Yame 1-56,text,true,,103321,228,50,50,https://yame.vn/home/v2022,402,0,0
1678801548391,405,Yame-0,302,Found,Thread Group-Yame 1-56,text,true,,1398,109,50,50,https://yame.vn/,402,0,0
1678801548796,666,Yame-1,200,OK,Thread Group-Yame 1-56,text,true,,101923,119,50,50,https://yame.vn/home/v2022,521,0,0
1678801548095,1378,Yame-/shop/12-vi-anh-hung?s=2,200,OK,Thread Group-Yame 1-1,text,true,,92712,132,49,49,https://yame.vn/shop/12-vi-anh-hung?s=2,1050,0,625
1678801548436,1048,Yame,200,OK,Thread Group-Yame 1-88,text,true,,103439,228,49,49,https://yame.vn/home/v2022,398,0,0
1678801548436,398,Yame-0,302,Found,Thread Group-Yame 1-88,text,true,,1382,109,49,49,https://yame.vn/,398,0,0
1678801548835,649,Yame-1,200,OK,Thread Group-Yame 1-88,text,true,,102057,119,49,49,https://yame.vn/home/v2022,485,0,0
1678801548733,805,Yame-/shop/quan-short?s=2,200,OK,Thread Group-Yame 1-40,text,true,,91089,128,49,49,https://yame.vn/shop/quan-short?s=2,505,0,0
1678801548473,1065,Yame-/shop/ao-thun-toi-gian?s=2,200,OK,Thread Group-Yame 1-30,text,true,,90019,134,49,49,https://yame.vn/shop/ao-thun-toi-gian?s=2,536,0,0
1678801549252,287,Yame-/y-originals?s=2,404,Not Found,Thread Group-Yame 1-99,text,false,,3895,124,49,49,https://yame.vn/y-originals?s=2,287,0,0
1678801548030,1514,Yame-/shop/quan-short-don-gian?s=2,200,OK,Thread Group-Yame 1-68,text,true,,92210,137,49,49,https://yame.vn/shop/quan-short-don-gian?s=2,625,0,0
1678801549021,529,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-59,text,true,,91414,125,49,49,https://yame.vn/bo-suu-tap/bbuff,405,0,0
1678801549048,506,Yame-/shop/giay-dep-sandal?s=2,200,OK,Thread Group-Yame 1-46,text,true,,87677,133,48,48,https://yame.vn/shop/giay-dep-sandal?s=2,378,0,0
1678801548265,1308,Yame-/shop/quan-dai-don-gian?s=2,200,OK,Thread Group-Yame 1-3,text,true,,91008,135,48,48,https://yame.vn/shop/quan-dai-don-gian?s=2,990,0,665
1678801549091,483,Yame-/shop/ao-khoac-hoodie?s=2,200,OK,Thread Group-Yame 1-57,text,true,,94389,133,48,48,https://yame.vn/shop/ao-khoac-hoodie?s=2,338,0,0
1678801549086,499,Yame-/shop/quan-jogger?s=2,200,OK,Thread Group-Yame 1-11,text,true,,73466,129,48,48,https://yame.vn/shop/quan-jogger?s=2,314,0,0
1678801548101,1506,Yame-/shop/quan-dai-don-gian?s=2,200,OK,Thread Group-Yame 1-82,text,true,,91012,135,48,48,https://yame.vn/shop/quan-dai-don-gian?s=2,615,0,0
1678801549167,452,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-77,text,true,,91410,125,48,48,https://yame.vn/bo-suu-tap/bbuff,324,0,0
1678801549195,438,Yame-/shop/bltx?s=2,200,OK,Thread Group-Yame 1-47,text,true,,88326,122,47,47,https://yame.vn/shop/bltx?s=2,325,0,0
1678801549195,442,Yame-/shop/ao-khoac-hoodie?s=2,200,OK,Thread Group-Yame 1-79,text,true,,94390,133,47,47,https://yame.vn/shop/ao-khoac-hoodie?s=2,325,0,0
1678801549426,239,Yame-/y-originals?s=2,404,Not Found,Thread Group-Yame 1-12,text,false,,3894,124,47,47,https://yame.vn/y-originals?s=2,238,0,0
1678801549252,425,Yame-/shop/giay-dep-sandal?s=2,200,OK,Thread Group-Yame 1-55,text,true,,87675,133,47,47,https://yame.vn/shop/giay-dep-sandal?s=2,321,0,0
1678801549252,426,Yame-/shop/ao-khoac-hoodie?s=2,200,OK,Thread Group-Yame 1-93,text,true,,94382,133,47,47,https://yame.vn/shop/ao-khoac-hoodie?s=2,321,0,0
1678801548239,1507,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-23,text,true,,91412,125,47,47,https://yame.vn/bo-suu-tap/bbuff,1239,0,691
1678801549391,351,Yame-/shop/ao-so-mi-co-danton?s=2,200,OK,Thread Group-Yame 1-58,text,true,,76942,136,47,47,https://yame.vn/shop/ao-so-mi-co-danton?s=2,273,0,0
